,name,location,rent,deposit,area,type,highlights,description,owner
0,Godrej Greens," Undri, Pune","₹14,100","+ Deposit ₹37,000",644 sqft,2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in undri is available in one of pune's most popular projects, godrej greens. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 644 sq.Ft. Carpet area. Flat is constructed on 644 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 7th of 17 floor in 1-5 years old tower. This is an unfurnished flat. The flat will be availa...",Shivaay Realty 
1,VJ YashOne Infinity," Punawale, Pune","₹23,000","+ Deposit ₹60,000",950 sqft,2 BHK ,"['Full Power Backup', 'Gated Society']","This 2 bhk flat in punawale is available in vj yashone infinity for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 950 sq.Ft. Super built-Up area. This flat is constructed on 950 sq.Ft. Area. This flat lies on the 14th floor of a 22 storey building. It is a semi-Furnished property. Inclusive of 5 light, 3 fan, 1 modular...",Owner 
2,Balaji Mesmero," Lohegaon, Pune","₹22,500",+ Deposit 2 months rent,"1,040 sqft",2 BHK ,"['2 Baths', 'East Facing']",2 bhk flat with modular kitchen lift garden kids play area security guard etc near by school college hospital bank atm airport shopping complex hotel etc,NK Properties 
3,ARV Ganga Kingston," NIBM, Pune","₹27,000",+ Deposit 3 months rent,"1,012 sqft",2 BHK ,"['2 Baths', 'Private Garden']",Rent: 22000,Foursides Property Management 
4,Solitaire Residency," Rahatani, Pune","₹35,000","+ Deposit ₹90,000","1,444 sqft",3 BHK ,"['2 Baths', 'Full Power Backup']",The rose valley society is the one of the famous society in pimple saudagar rahatni area. There are number of amenities in the society like gym clubhouse swimming pool garden and temple also centre of the society. The flat have very good ventilation and sunlight properly cross from the balcony to hall . The bank shopping complex movie theater hotels hospital school and daycare also near from th...,Bardhaman Property one of the famous consultant agency in pimple Saudagar 
5,Nyati Esteban 1," Undri, Pune","₹45,000",+ Deposit 3 months rent,"2,300 sqft",3 BHK ,"['3 Baths', 'Private Garden']","Fully furnished brand new flat with imported furniture (Furniture from dubai imported )very luxurious and beautiful spacious airy apartment with a gorgeous view. Good sunlight, perfect location with easy access to groceries, medicals, hotels, schools and transport. Cosmopolitan society with all amenities, for instance club house, swimming pool, gym, yoga room, childrens play area, ample car par...",HOME IT 
6,Kasturi La Salette," Kirtane Baugh, Pune",₹1.25 Lac,+ Deposit 6 months rent,"3,000 sqft",4 BHK ,"['4 Baths', 'Full Power Backup']",4 bhk villa for rent in a gated society with all amenities. It is very close to magarpatta and amanora city,Geet Enterprises  
7,amanora Desire Tower," Amanora Park Town, Pune","₹25,000",+ Deposit 2 months rent,500 sqft,1 BHK ,"['1 Baths', 'East Facing']","1 bhk flat available for rent in amanora desire tower, kharadi.
Monthly rent 25 k negotiable.",VASTU REAL ESTATE 
8,Five Star Royal Imperio," Rahatani, Pune","₹30,000","+ Deposit ₹70,000","1,120 sqft",2 BHK ,"['2 Baths', 'East Facing']","Five star royal imperio is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in rahatani, is your opportunity to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 1120 sq.Ft. Carpet usable area. This property is constructed on 1120 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 2n...",saudagar property 
9,Vilas Javdekar Yashwin Orizzonte," Kharadi, Pune","₹32,000","+ Deposit ₹65,000","1,052 sqft",2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 32,000 in vilas javdekar yashwin orizzonte, pune. This property offers access to nearby landmarks and is close to school and close to market. This flat consists of 2 bathrooms & 2 balconies in 920 sq.Ft. Super built-Up area. The flat is built on 1052 sq.Ft. Area. This property has study room as well. Ease ...",FORTUNE REALTY SOLUTIONS
